text,airline_sentiment
said,neutral
plus youve added commercial experience tacky,positive
didnt today must mean need take another trip,neutral
really aggressive blast obnoxious entertainment guest face amp little recourse,negative
really big bad thing,negative
seriously would pay flight seat didnt playing really bad thing flying va,negative
yes nearly every time fly vx “ear worm” won’t go away,positive
really missed prime opportunity men without hat parody,neutral
well didnt…but,positive
amazing arrived hour early youre good,positive
know suicide second leading cause death among teen,neutral
lt pretty graphic much better minimal iconography,positive
great deal already thinking nd trip amp havent even gone st trip yet p,positive
im flying fabulous seductive sky u take stress away travel,positive
thanks,positive
sfopdx schedule still mia,negative
excited first cross country flight lax mco ive heard nothing great thing virgin america daystogo,positive
flew nyc sfo last week couldnt fully sit seat due two large gentleman either side help,negative
❤️ flying ☺️👍,positive
know would amazingly awesome bosfll please want fly,positive
first fare may three time carrier seat available select,negative
love graphic,positive
love hipster innovation feel good brand,positive
making bosgtlas non stop permanently anytime soon,neutral
guy messed seating reserved seating friend guy gave seat away 😡 want free internet,negative
status match program applied three week called emailed response,negative
happened ur vegan food option least say ur site know wont able eat anything next hr fail,negative
miss dont worry well together soon,neutral
amazing cant get cold air vent vx noair worstflightever roasted sfotobos,negative
lax ewr middle seat red eye noob maneuver sendambien andchexmix,neutral
hi bked cool birthday trip cant add elevate cause entered middle name flight booking problem 😢,negative
hour operation club sfo posted online current,neutral
help left expensive headphone flight iad lax today seat one answering lampf number lax,negative
awaiting return phone call would prefer use online selfservice option,negative
great news america could start flight hawaii end year via,positive
nice rt vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience,neutral
moodlighting way fly best experience ever cool calming 💜✈ moodlitmonday,positive
done done best airline around hand,positive
book flight hawaii,neutral
chat support working site,negative
view downtown los angeles hollywood sign beyond rain mountain,positive
hey first time flyer next week excited im hard time getting flight added elevate account help,negative
plz help win bid upgrade flight laxgtsea 🍷👍💺✈️,neutral
unused ticket moved new city dont fly fly expires travelhelp,neutral
flight leaving dallas seattle time feb,neutral
im elevategold good reason rock,positive
dream,neutral
wow blew mind,positive
last night tribute soundofmusic oscar think agree,neutral
entertaining,neutral
flight way supposed take minute ago website still show time flight thanks,neutral
julie andrew way though impressive,positive
wish flew atlanta soon,neutral
julie andrew hand,neutral
flight leaving dallas la february th,neutral
hi im excited lgagtdal deal ive trying book since last week amp page never load thx,negative
know need spotify stat guiltypleasures,positive
im lady gaga amazing 😊,positive
carrie,neutral
new marketing song let u know think,neutral
julie andrew first lady gaga wowd last night carrie meh,neutral
called week ago adding flight elevatethey still havent shown uphelp,negative
great go carrieunderwood 😍👌,neutral
sorry mary martin first,neutral
love three really cant beat classic,positive
flight dal dca pm tried check could status please,neutral
heyyyy guyyyys trying get hour someone call please,negative
hi virgin im hold minute earlier flight la nyc tonight earlier pm,negative
congrats winning award best deal airline u,positive
everything fine lost bag,negative
need change reservation virgin credit card need modify phone waive change fee online,neutral
emailed customer service team let know need tracking number,neutral
hi booked flight need add baggage,neutral
airline awesome lax loft need step game dirty table floor,negative
worried great ride new plane great crew airline like,positive
awesome flew yall sat morning way correct bill,positive
watch best student film country foot cmfatfeet,neutral
first time flying different ratepolicy medium bag thanks,neutral
going customer service anyway speak human asap thank,negative
happened doom,neutral
cant supp biz traveler like customer service like neverflyvirginforbusiness,negative
ive applied member inflight crew teamim interested flightattendant dreampath g,positive
youre best whenever begrudgingly use airline im delayed late flight,negative
interesting flying cancelled flight next four flight plannedneverflyvirginforbusiness,negative
disappointing experience shared every business traveler meet neverflyvirgin,negative
i’m trouble adding flight wife booked elevate account help,negative
cant bring reservation online using flight booking problem code,neutral
random q whats distribution elevate avatar bet kitty disproportionate share,neutral
lt flying va life happens trying change trip jperhi helpva home page let,neutral
site back,negative
rnp yeah know,neutral
hi get point elevate account recent flight add flight point account,neutral
like tv interesting video disappointed cancelled flightled flight flight went jfk saturday,negative
landed lax hour late flight bag check business travel friendly nomorevirgin,negative
flight redirected,neutral
website btw new website isnt great user experience time another redesign,negative
cant check add bag website isnt working ive tried desktop mobile,negative
let scanned passenger leave plane told someone remove bag st class bin uncomfortable,negative
phone number cant find call flight reservation,negative
anyone anything today website useless one answering phone,negative
trying add boy prince ressie sf thursday lax,neutral
must traveler miss flight late flight check bag missed morning appointment lost business sfolax,negative
check new music,neutral
hows direct flight fllgtsfo unexpected layover vega fuel yet peep next bought vega flight sneaky,negative
late flight bag check lost business missed flight apt three people flight exp,negative
amazing customer service 💕💕 raeann sf shes best customerservice virginamerica flying,positive
called service line hung awesome sarcasm,negative
site tripping im trying check im getting plain text version reluctant enter card info,negative
scheduled sfo dal flight today changed th due weather look like flight still,neutral
getaway deal may oneway lot cool city cheapflights farecompare,positive
getaway deal may oneway lot cool city cheapflights farecompare,neutral
getaway deal may oneway lot cool city cheapflights farecompare,positive
getaway deal may oneway lot cool city cheapflights farecompare,neutral
great week 🌞✈,positive
come back phl already need take u horrible cold pleasecomeback,positive
concerned fly plane need delayed due tech stop,negative
best airline flown oneasy change reservationhelpful representative amp comfortable flying experience,positive
another rep kicked butt naelah represents team beautifully thank,positive
beautiful frontend design right cool still book ticket bc backend secure,positive
love team running gate e la tonight waited delayed flight kept thing entertaining,positive
use another browser amp brand reputation built tech response doesnt crossbrowser compatible website,negative
flight flight booking problem site totally folk problem,negative
like customer service min delay connecting passenger seems long va,negative
thanks outstanding nycjfk crew moved mountain get home san francisco tonight,positive
absolute best team customer service ever every time fly im delighted thank,positive
provide complimentary upgrade first class available seat,neutral
need change flight thats scheduled hour min wait time phone im calling intern help,negative
completely awesome experience last month boslas nonstop thanks awesome flight depart time vabeatsjblue,positive
watch oscar jfkgtsfo flight,neutral
flight cancelled flightled,neutral
failing customer check process link tsa precheck,negative
u terrible airline gave u hotel hotline number said sorry,negative
flight number sfo cabo san lucas arrived yet,neutral
assistance yesterday u cancelled flightled flight give u hotel hotline shame,negative
another delayed flight likingyoulessandless,negative
need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise,negative
rock making watch oscar flight redcarpet oscar oscar,positive
dropped track,neutral
always xoxo,positive
cant book seat flight buy even check creates much anxiety frustrated,negative
youd think paying extra buck rt luggage might afford hiring extra hand lame,negative
best customer service rep world irmafromdallas take cake,positive
find u flt lax sooner midnight monday would great customer service 😃,neutral
please provide status flight cant imagine time web indicates dude weather andor dallas,negative
amazing staff amp super helpful ran princesshalf spoiled comfort,positive
paid premium fly across country cancelled flight flight offer check fee upgrade love sad face,negative
question possible book seat infant giving option want seat,negative
always together youre welcome rt youre welcome,positive
flight home dc sunset globe backtowinter back work refreshed,positive
dont understand need dm give answer damaged luggage policy,negative
mean dont policy destroyed luggage,negative
special assistance travel alone w kid infant priority boarding,neutral
thank checking ticket purchased customer happy,positive
website ever coming back online,neutral
flight love field sfo definitely cancelled flightled monday february,neutral
flight lga dfw time,neutral
driver license expired little month fly friday morning using expired license,neutral
problem flight booking problem web site keep giving error contact phone phone minute wait,negative
reschedule cancelled flightled flight online change button greyed,negative
rang wait minute book ticket vendor fix site,negative
got flight told todaychecked email tomorrow unacceptable,negative
flight lga cancelled flighted stuck dallas called reschedule told could get flight today,negative
dont pairing include red wine white offered redwineisbetter,negative
website,negative
site seems little wonked right may want look tried two browser cs,negative
im disappointed agent designated silver status check line closed assist pasengers,negative
plan include austin dallas route topnews arab emirate,neutral
normal receive reply central baggage baggageissues smh,negative
logan airport waiting checkin flight checkin desk open,negative
jump dallasaustin market,neutral
beat eps view take southwestair va luv investor business daily,neutral
lister show monday,neutral
begin dallasaustin flight april ketr,neutral
congrats got business ewr sfolax fuck fl sfoewr clincher,negative
applied week ago havent heard back im flying week disappointed,negative
id love know policy damaged luggage,neutral
thank follow,positive
many apology r worse airline dont even respond cudtomers,negative
shame va making people spend money stranded city airline landing jfk reimburse,negative
dm,neutral
please flight sjc choice fly southwest vega 😩😭,neutral
bad say take day via confirmation email inquired week claim week,negative
flight bos gt la tomorrow cancelled flightled notification wait time hour rebook another airline,negative
😎 rt you’ve met match got status another airline upgrade restr,positive
way fly elevate gold,positive
guy flight cmh,neutral
lot apology thrown customer seevery sad thanks nothing worst airline ever,negative
flight stuff wrong nothing worst flight ever,negative
issue finding missing item plane help find airport plane headed next,neutral
match americanairlines status cool,positive
“youve met matchgot status another airline upgrade 🙉,neutral
trying book flight guy website wont let lose business,negative
suck,negative
thanks,positive
dmd issue persisting,negative
never recd cancelled flightlation notice left w option fly p driving la red eye mon w kid,negative
trying book flight amp site 😁,negative
flight flying boston tomorrow need home cancelled flightled flight didnt anything,negative
stink flight cancelled flighted psp jfk notification ability rebook disappointed expected better,negative
love guy song dancing high school dance revue,positive
website im trying check,negative
done thank quick response apparently faster sitting hold,positive
nervous flight dc lax getting cancelled flightled tomorrow sent dm help,neutral
cool picture another virginamerica plane wing site,positive
keep great work,positive
goodness people field amazing pressure ❤️from texas beatstheothers crisis please fly ny,positive
thanks great flight la boston pilot great job landing snow go back la seriously,positive
please get new york area monday afternoon,neutral
thanks much awesome support guy rock,positive
seat row dont recline mention website soreback,negative
flight delayed hour la due mechanical problem handle like pro could tossed u free drink,negative
cancelled flight flight today precipitation scared ❄️❄️❄️,negative
twitter team guy killed rescheduling asap thank,positive
guy charged reschedule flight cancelled flighted refusing refund whats deal,negative
can’t access website safari iphone seems work mac ipad need iphone add passbook,negative
ipad iphone clicking checkin link email received hr flight,neutral
mobile site broken show headerelevateusernumofpointsavailable number point wont let checkin,negative
really looking forward flight let know rescheduled diehardvirgin,negative
cancelled flight flight vx one sec delayed airport next cancelled flightledgonna email call reschedule,negative
problem link email checkin thanks,negative
change another airline get dc today able land dc cost ugh,negative
looking forward first flight today cancelled flightled along subsequent one,negative
putting great deal pdx la la pdx show love,positive
wish afford fly next friday going back home love everything airline,positive
gonna deal dallas dc deal dc dallas sad,negative
it’s bug report guy,neutral
hold time call center bit much,negative
like,positive
site help,negative
best flight attendant ever,positive
awesome rt watch nominated film foot meetthefleet oscar,positive
thanks much,positive
trying reset password email never arrives help,negative
airline based silicon valley disruption fcmostinnovative incubator,positive
nicely done 👏,positive
i’m looking forward watching oscar flight home tomorrow might even get something bubbly drink,positive
reason delay departure vx jfk afternoon,negative
